"filename", "language", "PHP", "SCSS", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\Project3200\scss\bootstrap\_root.scss", "SCSS", 0, 13, 0, 0, 0, 0, 3, 4, 20
"c:\xampp\htdocs\Project3200\scss\bootstrap\_spinners.scss", "SCSS", 0, 40, 0, 0, 0, 0, 8, 8, 56
"c:\xampp\htdocs\Project3200\scss\bootstrap\_tables.scss", "SCSS", 0, 121, 0, 0, 0, 0, 28, 37, 186
"c:\xampp\htdocs\Project3200\scss\bootstrap\_toasts.scss", "SCSS", 0, 38, 0, 0, 0, 0, 0, 7, 45
"c:\xampp\htdocs\Project3200\scss\bootstrap\_tooltip.scss", "SCSS", 0, 93, 0, 0, 0, 0, 5, 18, 116
"c:\xampp\htdocs\Project3200\scss\bootstrap\_transitions.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\xampp\htdocs\Project3200\scss\bootstrap\_type.scss", "SCSS", 0, 82, 0, 0, 0, 0, 20, 24, 126
"c:\xampp\htdocs\Project3200\scss\bootstrap\_utilities.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\xampp\htdocs\Project3200\scss\bootstrap\_variables.scss", "SCSS", 0, 756, 0, 0, 0, 0, 100, 268, 1124
"c:\xampp\htdocs\Project3200\scss\bootstrap\bootstrap-grid.scss", "SCSS", 0, 18, 0, 0, 0, 0, 6, 6, 30
"c:\xampp\htdocs\Project3200\scss\bootstrap\bootstrap-reboot.scss", "SCSS", 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\xampp\htdocs\Project3200\scss\bootstrap\bootstrap.scss", "SCSS", 0, 37, 0, 0, 0, 0, 6, 2, 45
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_alert.scss", "SCSS", 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_background-variant.scss", "SCSS", 0, 16, 0, 0, 0, 0, 2, 4, 22
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_badge.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_border-radius.scss", "SCSS", 0, 52, 0, 0, 0, 0, 2, 10, 64
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_box-shadow.scss", "SCSS", 0, 17, 0, 0, 0, 0, 2, 2, 21
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_breakpoints.scss", "SCSS", 0, 69, 0, 0, 0, 0, 44, 11, 124
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_buttons.scss", "SCSS", 0, 83, 0, 0, 0, 0, 11, 14, 108
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_caret.scss", "SCSS", 0, 55, 0, 0, 0, 0, 0, 8, 63
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_clearfix.scss", "SCSS", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_deprecate.scss", "SCSS", 0, 5, 0, 0, 0, 0, 5, 1, 11
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_float.scss", "SCSS", 0, 12, 0, 0, 0, 0, 1, 2, 15
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_forms.scss", "SCSS", 0, 152, 0, 0, 0, 0, 15, 26, 193
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_gradients.scss", "SCSS", 0, 34, 0, 0, 0, 0, 7, 5, 46
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_grid-framework.scss", "SCSS", 0, 49, 0, 0, 0, 0, 8, 10, 67
"c:\xampp\htdocs\Project3200\scss\bootstrap\mixins\_grid.scss", "SCSS", 0, 34, 0, 0, 0, 0, 10, 8, 52
